created,text
2020-03-16 05:55:39,"RT @adorable7hm: 손흥민신기술ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나중에 공 줍기 귀찮으니까 일어나면서 허벅지로 공줍기,, 싹다 귀여워 ㅠ ㅠ https://t.co/uZ0Iojl640"
2020-03-16 05:55:13,"RT @sson_woo16: ⚽️ '아마존'은 올 시즌 토트넘과 동행하며 다큐를 제작해왔고, 시즌 종료 후 공개할 예정.

✅ 이 다큐에서는 포체티노의 경질, 그리고 무리뉴 선임 과정의 내막을 확인할 수 있음

✅ 손흥민의 고메스 태클 사건, 70m…"
2020-03-16 05:43:11,"RT @sson_woo16: ⚽️ '아마존'은 올 시즌 토트넘과 동행하며 다큐를 제작해왔고, 시즌 종료 후 공개할 예정.

✅ 이 다큐에서는 포체티노의 경질, 그리고 무리뉴 선임 과정의 내막을 확인할 수 있음

✅ 손흥민의 고메스 태클 사건, 70m…"
2020-03-16 05:29:55,"RT @sson_woo16: ⚽️ '아마존'은 올 시즌 토트넘과 동행하며 다큐를 제작해왔고, 시즌 종료 후 공개할 예정.

✅ 이 다큐에서는 포체티노의 경질, 그리고 무리뉴 선임 과정의 내막을 확인할 수 있음

✅ 손흥민의 고메스 태클 사건, 70m…"
2020-03-16 05:21:29,"RT @adorable7hm: 손흥민신기술ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나중에 공 줍기 귀찮으니까 일어나면서 허벅지로 공줍기,, 싹다 귀여워 ㅠ ㅠ https://t.co/uZ0Iojl640"
2020-03-16 05:00:11,"#손흥민, ‘화이트데이에 사탕 받고 싶은 선수’ 1위 선정 https://t.co/EWECebMAPN"
2020-03-16 04:52:53,"RT @sson_woo16: ⚽️ '아마존'은 올 시즌 토트넘과 동행하며 다큐를 제작해왔고, 시즌 종료 후 공개할 예정.

✅ 이 다큐에서는 포체티노의 경질, 그리고 무리뉴 선임 과정의 내막을 확인할 수 있음

✅ 손흥민의 고메스 태클 사건, 70m…"
2020-03-16 04:36:14,"英 언론, 손흥민 훈련 복귀 전망…`토트넘 톱4 진입 가능성↑` https://t.co/Z3K3MFkwzR"
2020-03-16 04:34:04,손 손흥민 흥 흥해라 민 민망하다
2020-03-16 04:30:49,"RT @sson_woo16: ⚽️ '아마존'은 올 시즌 토트넘과 동행하며 다큐를 제작해왔고, 시즌 종료 후 공개할 예정.

✅ 이 다큐에서는 포체티노의 경질, 그리고 무리뉴 선임 과정의 내막을 확인할 수 있음

✅ 손흥민의 고메스 태클 사건, 70m…"
2020-03-16 04:29:15,"RT @sson_woo16: ⚽️ '아마존'은 올 시즌 토트넘과 동행하며 다큐를 제작해왔고, 시즌 종료 후 공개할 예정.

✅ 이 다큐에서는 포체티노의 경질, 그리고 무리뉴 선임 과정의 내막을 확인할 수 있음

✅ 손흥민의 고메스 태클 사건, 70m…"
2020-03-16 04:24:47,"RT @adorable7hm: 손흥민신기술ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나중에 공 줍기 귀찮으니까 일어나면서 허벅지로 공줍기,, 싹다 귀여워 ㅠ ㅠ https://t.co/uZ0Iojl640"
2020-03-16 04:19:27,재재 보니까 눈매가 손흥민 닮앗어
2020-03-16 04:14:56,"RT @adorable7hm: 손흥민신기술ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나중에 공 줍기 귀찮으니까 일어나면서 허벅지로 공줍기,, 싹다 귀여워 ㅠ ㅠ https://t.co/uZ0Iojl640"
2020-03-16 04:10:57,"RT @Semper__liber: 🔗 KFAN 원픽 1위 손흥민 감사영상 

팬분들의 응원과 성원 덕분에 수술도 잘하고 
재활도 열심히 하고 있다는 쏘니 🥺💙
다같이 코로나를 극복해 나갔으면 좋겠고
모든 분들 건강 유의하시라는 사랑둥이 🥰
1위로 뽑…"
